날짜,시간,경제성DR입찰건수,피크수요입찰건수,미세먼지입찰건수,경제성DR낙찰건수,피크수요낙찰건수,미세먼지낙찰건수
2020-01-01,01,0,0,0,0,0,0
2020-01-01,02,0,0,0,0,0,0
2020-01-01,03,0,0,0,0,0,0
2020-01-01,04,0,0,0,0,0,0
2020-01-01,05,0,0,0,0,0,0
2020-01-01,06,0,0,0,0,0,0
2020-01-01,07,0,0,0,0,0,0
2020-01-01,08,0,0,0,0,0,0
2020-01-01,09,0,0,0,0,0,0
2020-01-01,10,0,0,0,0,0,0
2020-01-01,11,0,0,0,0,0,0
2020-01-01,12,0,0,0,0,0,0
2020-01-01,13,0,0,0,0,0,0
2020-01-01,14,0,0,0,0,0,0
2020-01-01,15,0,0,0,0,0,0
2020-01-01,16,0,0,0,0,0,0
2020-01-01,17,0,0,0,0,0,0
2020-01-01,18,0,0,0,0,0,0
2020-01-01,19,0,0,0,0,0,0
2020-01-01,20,0,0,0,0,0,0
2020-01-01,21,0,0,0,0,0,0
2020-01-01,22,0,0,0,0,0,0
2020-01-01,23,0,0,0,0,0,0
2020-01-01,24,0,0,0,0,0,0
2020-01-02,01,13,0,0,0,0,0
2020-01-02,02,13,0,0,7,0,0
2020-01-02,03,14,0,0,0,0,0
2020-01-02,04,9,0,0,0,0,0
2020-01-02,05,13,0,0,3,0,0
2020-01-02,06,14,0,0,0,0,0
2020-01-02,07,14,6,0,5,0,0
2020-01-02,08,12,3,0,7,0,0
2020-01-02,09,13,1,0,13,0,0
2020-01-02,10,15,1,0,15,0,0
2020-01-02,11,16,2,0,12,0,0
2020-01-02,12,16,7,0,0,0,0
2020-01-02,13,6,0,0,0,0,0
2020-01-02,14,14,2,0,12,0,0
2020-01-02,15,14,1,0,14,0,0
2020-01-02,16,14,3,0,10,0,0
2020-01-02,17,13,1,0,13,0,0
2020-01-02,18,11,1,0,11,0,0
2020-01-02,19,11,1,0,11,0,0
2020-01-02,20,10,1,0,10,0,0
2020-01-02,21,9,1,0,9,0,0
2020-01-02,22,9,0,0,0,0,0
2020-01-02,23,9,0,0,0,0,0
2020-01-02,24,8,0,0,8,0,0
2020-01-03,01,8,0,0,0,0,0
2020-01-03,02,8,0,0,0,0,0
2020-01-03,03,8,0,0,8,0,0
2020-01-03,04,7,0,0,0,0,0
2020-01-03,05,7,0,0,0,0,0
2020-01-03,06,9,0,0,1,0,0
2020-01-03,07,9,8,0,0,0,0
2020-01-03,08,11,10,0,0,0,0
2020-01-03,09,13,2,0,13,0,0
2020-01-03,10,15,3,0,15,0,0
2020-01-03,11,15,12,0,0,0,0
2020-01-03,12,16,12,0,0,0,0
2020-01-03,13,9,0,0,0,0,0
2020-01-03,14,18,2,0,18,0,0
2020-01-03,15,18,2,0,18,0,0
2020-01-03,16,16,2,0,16,0,0
2020-01-03,17,15,2,0,15,0,0
2020-01-03,18,16,2,0,16,0,0
2020-01-03,19,15,3,0,15,0,0
2020-01-03,20,14,4,0,12,0,0
2020-01-03,21,13,4,0,5,0,0
2020-01-03,22,12,0,0,0,0,0
2020-01-03,23,12,0,0,0,0,0
2020-01-03,24,8,0,0,8,0,0
2020-01-04,01,0,0,0,0,0,0
2020-01-04,02,0,0,0,0,0,0
2020-01-04,03,0,0,0,0,0,0
2020-01-04,04,0,0,0,0,0,0
2020-01-04,05,0,0,0,0,0,0
2020-01-04,06,0,0,0,0,0,0
2020-01-04,07,0,0,0,0,0,0
2020-01-04,08,0,0,0,0,0,0
2020-01-04,09,0,0,0,0,0,0
2020-01-04,10,0,0,0,0,0,0
2020-01-04,11,0,0,0,0,0,0
2020-01-04,12,0,0,0,0,0,0
2020-01-04,13,0,0,0,0,0,0
2020-01-04,14,0,0,0,0,0,0
2020-01-04,15,0,0,0,0,0,0
2020-01-04,16,0,0,0,0,0,0
2020-01-04,17,0,0,0,0,0,0
2020-01-04,18,0,0,0,0,0,0
2020-01-04,19,0,0,0,0,0,0
2020-01-04,20,0,0,0,0,0,0
2020-01-04,21,0,0,0,0,0,0
2020-01-04,22,0,0,0,0,0,0
2020-01-04,23,0,0,0,0,0,0
2020-01-04,24,0,0,0,0,0,0
2020-01-05,01,0,0,0,0,0,0
2020-01-05,02,0,0,0,0,0,0
2020-01-05,03,0,0,0,0,0,0
2020-01-05,04,0,0,0,0,0,0
2020-01-05,05,0,0,0,0,0,0
2020-01-05,06,0,0,0,0,0,0
2020-01-05,07,0,0,0,0,0,0
2020-01-05,08,0,0,0,0,0,0
2020-01-05,09,0,0,0,0,0,0
2020-01-05,10,0,0,0,0,0,0
2020-01-05,11,0,0,0,0,0,0
2020-01-05,12,0,0,0,0,0,0
2020-01-05,13,0,0,0,0,0,0
2020-01-05,14,0,0,0,0,0,0
2020-01-05,15,0,0,0,0,0,0
2020-01-05,16,0,0,0,0,0,0
2020-01-05,17,0,0,0,0,0,0
2020-01-05,18,0,0,0,0,0,0
2020-01-05,19,0,0,0,0,0,0
2020-01-05,20,0,0,0,0,0,0
2020-01-05,21,0,0,0,0,0,0
2020-01-05,22,0,0,0,0,0,0
2020-01-05,23,0,0,0,0,0,0
2020-01-05,24,0,0,0,0,0,0
2020-01-06,01,7,0,0,0,0,0
2020-01-06,02,7,0,0,0,0,0
2020-01-06,03,6,0,0,0,0,0
2020-01-06,04,6,0,0,0,0,0
2020-01-06,05,6,0,0,0,0,0
2020-01-06,06,5,0,0,0,0,0
2020-01-06,07,5,4,0,0,0,0
2020-01-06,08,7,4,0,0,0,0
2020-01-06,09,7,1,0,7,0,0
2020-01-06,10,8,1,0,8,0,0
2020-01-06,11,9,4,0,0,0,0
2020-01-06,12,9,4,0,0,0,0
2020-01-06,13,3,0,0,0,0,0
2020-01-06,14,11,1,0,8,0,0
2020-01-06,15,11,1,0,11,0,0
2020-01-06,16,10,2,0,7,0,0
2020-01-06,17,11,1,0,11,0,0
2020-01-06,18,9,1,0,9,0,0
2020-01-06,19,9,1,0,9,0,0
